row,col,response,exclude,readout
C,3,1403,0,Viable leukemia cells
C,4,1163,0,Viable leukemia cells
C,5,1200,0,Viable leukemia cells
C,6,1331,0,Viable leukemia cells
C,7,1183,0,Viable leukemia cells
C,8,1291,0,Viable leukemia cells
C,9,1248,0,Viable leukemia cells
C,10,1418,0,Viable leukemia cells
C,11,1554,0,Viable leukemia cells
C,12,382,0,Viable leukemia cells
C,13,1245,0,Viable leukemia cells
C,14,1369,0,Viable leukemia cells
C,15,1334,0,Viable leukemia cells
C,16,1287,0,Viable leukemia cells
C,17,1312,0,Viable leukemia cells
C,18,1140,0,Viable leukemia cells
C,19,1379,0,Viable leukemia cells
C,20,1373,0,Viable leukemia cells
C,21,1274,0,Viable leukemia cells
C,22,1093,0,Viable leukemia cells
D,3,1088,0,Viable leukemia cells
D,4,1099,0,Viable leukemia cells
D,5,1228,0,Viable leukemia cells
D,6,1183,0,Viable leukemia cells
D,7,1062,0,Viable leukemia cells
D,8,1175,0,Viable leukemia cells
D,9,1263,0,Viable leukemia cells
D,10,1355,0,Viable leukemia cells
D,11,1290,0,Viable leukemia cells
D,12,362,0,Viable leukemia cells
D,13,1231,0,Viable leukemia cells
D,14,1194,0,Viable leukemia cells
D,15,1271,0,Viable leukemia cells
D,16,1278,0,Viable leukemia cells
D,17,1308,0,Viable leukemia cells
D,18,1220,0,Viable leukemia cells
D,19,1163,0,Viable leukemia cells
D,20,1343,0,Viable leukemia cells
D,21,1149,0,Viable leukemia cells
D,22,1077,0,Viable leukemia cells
E,3,1116,0,Viable leukemia cells
E,4,1412,0,Viable leukemia cells
E,5,974,0,Viable leukemia cells
E,6,1225,0,Viable leukemia cells
E,7,1185,0,Viable leukemia cells
E,8,1245,0,Viable leukemia cells
E,9,1191,0,Viable leukemia cells
E,10,1439,0,Viable leukemia cells
E,11,1077,0,Viable leukemia cells
E,12,81,0,Viable leukemia cells
E,13,1183,0,Viable leukemia cells
E,14,1353,0,Viable leukemia cells
E,15,1364,0,Viable leukemia cells
E,16,932,0,Viable leukemia cells
E,17,1198,0,Viable leukemia cells
E,18,1100,0,Viable leukemia cells
E,19,1257,0,Viable leukemia cells
E,20,1204,0,Viable leukemia cells
E,21,1153,0,Viable leukemia cells
E,22,1268,0,Viable leukemia cells
F,3,1161,0,Viable leukemia cells
F,4,1284,0,Viable leukemia cells
F,5,950,0,Viable leukemia cells
F,6,1275,0,Viable leukemia cells
F,7,1217,0,Viable leukemia cells
F,8,1404,0,Viable leukemia cells
F,9,1043,0,Viable leukemia cells
F,10,1154,0,Viable leukemia cells
F,11,1368,0,Viable leukemia cells
F,12,121,0,Viable leukemia cells
F,13,1461,0,Viable leukemia cells
F,14,1424,0,Viable leukemia cells
F,15,1396,0,Viable leukemia cells
F,16,884,0,Viable leukemia cells
F,17,1286,0,Viable leukemia cells
F,18,1201,0,Viable leukemia cells
F,19,1520,0,Viable leukemia cells
F,20,1297,0,Viable leukemia cells
F,21,1438,0,Viable leukemia cells
F,22,1313,0,Viable leukemia cells
G,3,1288,0,Viable leukemia cells
G,4,1272,0,Viable leukemia cells
G,5,477,0,Viable leukemia cells
G,6,1101,0,Viable leukemia cells
G,7,524,0,Viable leukemia cells
G,8,1241,0,Viable leukemia cells
G,9,1255,0,Viable leukemia cells
G,10,1336,0,Viable leukemia cells
G,11,735,0,Viable leukemia cells
G,12,49,0,Viable leukemia cells
G,13,1354,0,Viable leukemia cells
G,14,1232,0,Viable leukemia cells
G,15,1152,0,Viable leukemia cells
G,16,591,0,Viable leukemia cells
G,17,1175,0,Viable leukemia cells
G,18,1135,0,Viable leukemia cells
G,19,1396,0,Viable leukemia cells
G,20,1270,0,Viable leukemia cells
G,21,928,0,Viable leukemia cells
G,22,1207,0,Viable leukemia cells
H,3,1341,0,Viable leukemia cells
H,4,1375,0,Viable leukemia cells
H,5,465,0,Viable leukemia cells
H,6,1317,0,Viable leukemia cells
H,7,479,0,Viable leukemia cells
H,8,1294,0,Viable leukemia cells
H,9,1316,0,Viable leukemia cells
H,10,1216,0,Viable leukemia cells
H,11,775,0,Viable leukemia cells
H,12,47,0,Viable leukemia cells
H,13,1303,0,Viable leukemia cells
H,14,1341,0,Viable leukemia cells
H,15,1409,0,Viable leukemia cells
H,16,549,0,Viable leukemia cells
H,17,1176,0,Viable leukemia cells
H,18,1251,0,Viable leukemia cells
H,19,930,0,Viable leukemia cells
H,20,1367,0,Viable leukemia cells
H,21,961,0,Viable leukemia cells
H,22,1135,0,Viable leukemia cells
I,3,1215,0,Viable leukemia cells
I,4,1112,0,Viable leukemia cells
I,5,259,0,Viable leukemia cells
I,6,765,0,Viable leukemia cells
I,7,356,0,Viable leukemia cells
I,8,1015,0,Viable leukemia cells
I,9,1042,0,Viable leukemia cells
I,10,1343,0,Viable leukemia cells
I,11,445,0,Viable leukemia cells
I,12,4,0,Viable leukemia cells
I,13,764,0,Viable leukemia cells
I,14,1424,0,Viable leukemia cells
I,15,1513,0,Viable leukemia cells
I,16,200,0,Viable leukemia cells
I,17,1044,0,Viable leukemia cells
I,18,987,0,Viable leukemia cells
I,19,1119,0,Viable leukemia cells
I,20,1284,0,Viable leukemia cells
I,21,365,0,Viable leukemia cells
I,22,1222,0,Viable leukemia cells
J,3,1393,0,Viable leukemia cells
J,4,1224,0,Viable leukemia cells
J,5,360,0,Viable leukemia cells
J,6,999,0,Viable leukemia cells
J,7,302,0,Viable leukemia cells
J,8,1188,0,Viable leukemia cells
J,9,1103,0,Viable leukemia cells
J,10,1253,0,Viable leukemia cells
J,11,574,0,Viable leukemia cells
J,12,2,0,Viable leukemia cells
J,13,650,0,Viable leukemia cells
J,14,1229,0,Viable leukemia cells
J,15,1376,0,Viable leukemia cells
J,16,216,0,Viable leukemia cells
J,17,898,0,Viable leukemia cells
J,18,1077,0,Viable leukemia cells
J,19,1092,0,Viable leukemia cells
J,20,1361,0,Viable leukemia cells
J,21,419,0,Viable leukemia cells
J,22,953,0,Viable leukemia cells
K,3,1425,0,Viable leukemia cells
K,4,408,0,Viable leukemia cells
K,5,293,0,Viable leukemia cells
K,6,63,0,Viable leukemia cells
K,7,367,0,Viable leukemia cells
K,8,1366,0,Viable leukemia cells
K,9,661,0,Viable leukemia cells
K,10,1169,0,Viable leukemia cells
K,11,456,0,Viable leukemia cells
K,12,25,0,Viable leukemia cells
K,13,39,0,Viable leukemia cells
K,14,1321,0,Viable leukemia cells
K,15,1638,0,Viable leukemia cells
K,16,196,0,Viable leukemia cells
K,17,552,0,Viable leukemia cells
K,18,994,0,Viable leukemia cells
K,19,851,0,Viable leukemia cells
K,20,1289,0,Viable leukemia cells
K,21,264,0,Viable leukemia cells
K,22,558,0,Viable leukemia cells
L,3,1402,0,Viable leukemia cells
L,4,454,0,Viable leukemia cells
L,5,333,0,Viable leukemia cells
L,6,75,0,Viable leukemia cells
L,7,293,0,Viable leukemia cells
L,8,1234,0,Viable leukemia cells
L,9,734,0,Viable leukemia cells
L,10,1132,0,Viable leukemia cells
L,11,585,0,Viable leukemia cells
L,12,15,0,Viable leukemia cells
L,13,39,0,Viable leukemia cells
L,14,1244,0,Viable leukemia cells
L,15,1398,0,Viable leukemia cells
L,16,181,0,Viable leukemia cells
L,17,526,0,Viable leukemia cells
L,18,1068,0,Viable leukemia cells
L,19,531,0,Viable leukemia cells
L,20,1560,0,Viable leukemia cells
L,21,293,0,Viable leukemia cells
L,22,611,0,Viable leukemia cells
M,3,1327,0,Viable leukemia cells
M,4,158,0,Viable leukemia cells
M,5,198,0,Viable leukemia cells
M,6,1,0,Viable leukemia cells
M,7,268,0,Viable leukemia cells
M,8,891,0,Viable leukemia cells
M,9,146,0,Viable leukemia cells
M,10,903,0,Viable leukemia cells
M,11,527,0,Viable leukemia cells
M,12,45,0,Viable leukemia cells
M,13,0,0,Viable leukemia cells
M,14,656,0,Viable leukemia cells
M,15,1198,0,Viable leukemia cells
M,16,139,0,Viable leukemia cells
M,17,233,0,Viable leukemia cells
M,18,174,0,Viable leukemia cells
M,19,1,0,Viable leukemia cells
M,20,1184,0,Viable leukemia cells
M,21,148,0,Viable leukemia cells
M,22,9,0,Viable leukemia cells
N,3,1090,0,Viable leukemia cells
N,4,164,0,Viable leukemia cells
N,5,202,0,Viable leukemia cells
N,6,8,0,Viable leukemia cells
N,7,209,0,Viable leukemia cells
N,8,916,0,Viable leukemia cells
N,9,222,0,Viable leukemia cells
N,10,893,0,Viable leukemia cells
N,11,555,0,Viable leukemia cells
N,12,20,0,Viable leukemia cells
N,13,0,0,Viable leukemia cells
N,14,616,0,Viable leukemia cells
N,15,1042,0,Viable leukemia cells
N,16,100,0,Viable leukemia cells
N,17,259,0,Viable leukemia cells
N,18,434,0,Viable leukemia cells
N,19,0,0,Viable leukemia cells
N,20,1270,0,Viable leukemia cells
N,21,157,0,Viable leukemia cells
N,22,10,0,Viable leukemia cells
O,3,2,0,Viable leukemia cells
O,4,0,0,Viable leukemia cells
O,5,2,0,Viable leukemia cells
O,6,0,0,Viable leukemia cells
O,7,1,0,Viable leukemia cells
O,8,3,0,Viable leukemia cells
O,9,0,0,Viable leukemia cells
O,10,3,0,Viable leukemia cells
O,11,0,0,Viable leukemia cells
O,12,0,0,Viable leukemia cells
O,13,0,0,Viable leukemia cells
O,14,2,0,Viable leukemia cells
O,15,1147,0,Viable leukemia cells
O,16,1067,0,Viable leukemia cells
O,17,1265,0,Viable leukemia cells
O,18,1231,0,Viable leukemia cells
O,19,1103,0,Viable leukemia cells
O,20,1400,0,Viable leukemia cells
O,21,1075,0,Viable leukemia cells
O,22,1109,0,Viable leukemia cells